STATION,NAME,DATE,TMAX,TMIN
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",8/31/03,72,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/1/03,73,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/2/03,78,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/3/03,79,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/4/03,76,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/5/03,75,56
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/6/03,74,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/7/03,66,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/8/03,65,55
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/9/03,71,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/10/03,63,58
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/11/03,62,56
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/12/03,63,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/13/03,70,39
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/14/03,62,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/15/03,61,39
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/16/03,58,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/17/03,59,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/18/03,61,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/19/03,66,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/20/03,64,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/21/03,67,40
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/22/03,67,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/23/03,66,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/24/03,69,42
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/25/03,70,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/26/03,71,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/27/03,76,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/28/03,87,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/29/03,60,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",9/30/03,67,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/1/03,68,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/2/03,58,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/3/03,63,48
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/4/03,54,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/5/03,57,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/6/03,64,54
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/7/03,63,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/8/03,61,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/9/03,57,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/10/03,57,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/11/03,56,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/12/03,56,51
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/13/03,58,46
