,neighborhood,year,month,day,day_of_week,day_segment,number_of_crimes
274,Stanley Park,2018,8,1,Wednesday,1200am-1159am,1.3522651195526123
275,Stanley Park,2018,8,1,Wednesday,1200pm-1159pm,1.6595301628112793
276,Stanley Park,2018,8,2,Thursday,1200am-1159am,1.3522651195526123
277,Stanley Park,2018,8,2,Thursday,1200pm-1159pm,1.6595301628112793
278,Stanley Park,2018,8,3,Friday,1200am-1159am,1.3522651195526123
279,Stanley Park,2018,8,3,Friday,1200pm-1159pm,1.6595301628112793
280,Oakridge,2018,7,28,Saturday,1200am-1159am,1.4038827419281006
281,Oakridge,2018,7,28,Saturday,1200pm-1159pm,1.8132609128952026
282,Oakridge,2018,7,29,Sunday,1200am-1159am,1.4038827419281006
283,Oakridge,2018,7,29,Sunday,1200pm-1159pm,1.8132609128952026
284,Oakridge,2018,7,30,Monday,1200am-1159am,1.4038827419281006
285,Oakridge,2018,7,30,Monday,1200pm-1159pm,1.8132609128952026
286,Oakridge,2018,7,31,Tuesday,1200am-1159am,1.4038827419281006
287,Oakridge,2018,7,31,Tuesday,1200pm-1159pm,1.8132609128952026
288,Oakridge,2018,8,1,Wednesday,1200am-1159am,1.4624969959259033
289,Oakridge,2018,8,1,Wednesday,1200pm-1159pm,1.8841462135314941
290,Oakridge,2018,8,2,Thursday,1200am-1159am,1.4624969959259033
291,Oakridge,2018,8,2,Thursday,1200pm-1159pm,1.8841462135314941
292,Oakridge,2018,8,3,Friday,1200am-1159am,1.4624969959259033
293,Oakridge,2018,8,3,Friday,1200pm-1159pm,1.8841462135314941
294,Musqueam,2018,7,28,Saturday,1200am-1159am,1.4857373237609863
295,Musqueam,2018,7,28,Saturday,1200pm-1159pm,1.7698787450790405
296,Musqueam,2018,7,29,Sunday,1200am-1159am,1.4857373237609863
297,Musqueam,2018,7,29,Sunday,1200pm-1159pm,1.7698787450790405
298,Musqueam,2018,7,30,Monday,1200am-1159am,1.5264958143234253
299,Musqueam,2018,7,30,Monday,1200pm-1159pm,1.7698787450790405
300,Musqueam,2018,7,31,Tuesday,1200am-1159am,1.5264958143234253
301,Musqueam,2018,7,31,Tuesday,1200pm-1159pm,1.7698787450790405
302,Musqueam,2018,8,1,Wednesday,1200am-1159am,1.544351577758789
303,Musqueam,2018,8,1,Wednesday,1200pm-1159pm,1.8407641649246216
304,Musqueam,2018,8,2,Thursday,1200am-1159am,1.544351577758789
305,Musqueam,2018,8,2,Thursday,1200pm-1159pm,1.8407641649246216
306,Musqueam,2018,8,3,Friday,1200am-1159am,1.544351577758789
307,Musqueam,2018,8,3,Friday,1200pm-1159pm,1.8407641649246216
308,Strathcona,2018,7,28,Saturday,1200am-1159am,2.1734824180603027
309,Strathcona,2018,7,28,Saturday,1200pm-1159pm,2.6480138301849365
310,Strathcona,2018,7,29,Sunday,1200am-1159am,2.1734824180603027
311,Strathcona,2018,7,29,Sunday,1200pm-1159pm,2.6480138301849365
312,Strathcona,2018,7,30,Monday,1200am-1159am,2.1734824180603027
313,Strathcona,2018,7,30,Monday,1200pm-1159pm,2.6480138301849365
314,Strathcona,2018,7,31,Tuesday,1200am-1159am,2.1734824180603027
315,Strathcona,2018,7,31,Tuesday,1200pm-1159pm,2.6480138301849365
316,Strathcona,2018,8,1,Wednesday,1200am-1159am,2.122101306915283
317,Strathcona,2018,8,1,Wednesday,1200pm-1159pm,2.6089046001434326
318,Strathcona,2018,8,2,Thursday,1200am-1159am,2.122101306915283
319,Strathcona,2018,8,2,Thursday,1200pm-1159pm,2.6089046001434326
320,Strathcona,2018,8,3,Friday,1200am-1159am,2.122101306915283
321,Strathcona,2018,8,3,Friday,1200pm-1159pm,2.6089046001434326
